Date,Active energy burned(Cal),Activity,Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2019-09-23 08:44:25,96.989,Walking,1518.036,1.0,0.0,0.0,0.0,0.0,88.833,99.0,
2019-09-23 18:28:25,102.993,Walking,1377.372,1.0,0.0,0.0,0.0,0.0,72.352,90.056,
2019-09-24 08:29:06,122.112,Walking,1449.806,1.0,0.0,0.0,0.0,0.0,90.567,96.659,
2019-09-24 16:52:58,111.998,Walking,1585.993,1.0,0.0,0.0,0.0,0.0,89.875,94.127,
2019-09-25 06:32:25,99.387,Walking,1252.287,1.0,0.0,0.0,0.0,0.0,98.223,98.903,
2019-09-25 07:01:26,35.876,Rowing,306.064,0.0,1.0,0.0,0.0,0.0,121.76,121.76,
2019-09-26 08:40:51,120.598,Walking,1159.433,1.0,0.0,0.0,0.0,0.0,106.749,111.59,
2019-09-26 17:27:47,107.846,Walking,1410.876,1.0,0.0,0.0,0.0,0.0,95.798,99.137,
2019-09-27 17:06:09,102.562,Walking,1481.883,0.909,0.091,0.0,0.0,0.0,109.291,133.0,
