Time (Local),Type,Notes,Photo Link
2022-06-06 09:35:53,food,Athletic greens,https://levels.imgix.net/food-log/0ul7j5v4e3h5kr1ihcyi1q.jpg
2022-06-06 09:40:00,food,Museli,
