Date,Active energy burned(Cal),Activity,Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2022-01-24 18:52:29,62.0,Preparation and Recovery (Indoor),1200.0,1.0,0.0,0.0,0.0,0.0,72.05,83.0,
2022-01-26 08:41:46,80.888,Walking,986.21,1.0,0.0,0.0,0.0,0.0,92.728,93.862,5.459
2022-01-26 19:33:14,46.055,Walking,793.892,1.0,0.0,0.0,0.0,0.0,93.346,106.0,3.927
2022-01-27 17:56:37,82.064,Walking,1086.253,1.0,0.0,0.0,0.0,0.0,94.511,94.511,5.176
2022-01-27 18:18:08,198.138,Functional Strength Training,1897.153,0.333,0.667,0.0,0.0,0.0,115.782,127.303,6.617
2022-01-28 17:56:00,139.046,Cycling (Indoor),901.05,0.0,0.5,0.0,0.5,0.0,148.911,164.813,9.218
2022-01-28 17:56:05,220.0,Cycling (Indoor),903.0,0.0,0.333,0.333,0.334,0.0,149.274,164.813,
2022-01-28 18:13:11,62.0,Functional Strength Training (Indoor),600.0,0.0,1.0,0.0,0.0,0.0,120.105,120.105,
2022-01-28 18:13:12,60.754,Traditional Strength Training,607.963,0.0,1.0,0.0,0.0,0.0,120.105,120.105,5.089
2022-01-30 10:39:22,65.725,Walking,1074.871,1.0,0.0,0.0,0.0,0.0,85.372,87.976,4.296
2022-01-31 08:44:40,81.78,Walking,1237.502,1.0,0.0,0.0,0.0,0.0,73.705,73.705,4.691
2022-01-31 11:13:26,402.185,Cycling (Indoor),2702.304,0.0,0.2,0.8,0.0,0.0,141.872,145.532,8.886
2022-01-31 11:13:30,578.0,Cycling (Indoor),2700.0,0.0,0.0,1.0,0.0,0.0,143.953,145.532,
2022-02-01 08:21:50,82.924,Walking,1202.549,1.0,0.0,0.0,0.0,0.0,93.022,93.989,4.782
2022-02-01 15:49:33,550.527,Functional Strength Training,6006.729,0.778,0.222,0.0,0.0,0.0,107.62,121.928,5.936
2022-02-02 16:34:47,415.722,Functional Strength Training,5219.42,1.0,0.0,0.0,0.0,0.0,96.606,109.137,5.151
2022-02-03 11:31:17,53.167,Walking,743.108,1.0,0.0,0.0,0.0,0.0,94.112,94.112,6.665
2022-02-04 17:22:39,397.607,Functional Strength Training,3695.506,0.5,0.429,0.071,0.0,0.0,109.352,136.0,6.727
2022-02-05 22:52:14,75.475,Walking (Indoor),1333.003,0.396,0.604,0.0,0.0,0.0,115.683,121.0,4.048
2022-02-07 12:58:03,93.468,Walking,1122.993,1.0,0.0,0.0,0.0,0.0,97.034,97.597,5.549
2022-02-07 17:51:10,147.132,Functional Strength Training,1385.456,0.5,0.5,0.0,0.0,0.0,113.952,121.199,6.731
2022-02-09 12:32:50,165.488,Walking,1798.287,1.0,0.0,0.0,0.0,0.0,103.869,105.733,6.018
2022-02-09 18:31:28,104.158,Walking,1759.79,1.0,0.0,0.0,0.0,0.0,101.027,105.0,4.09
2022-02-10 08:16:15,114.037,Walking,1220.422,1.0,0.0,0.0,0.0,0.0,95.174,97.025,6.09
2022-02-11 07:48:26,57.706,Functional Strength Training,1147.081,1.0,0.0,0.0,0.0,0.0,70.329,86.786,3.614
2022-02-16 08:08:50,107.537,Walking,1163.427,1.0,0.0,0.0,0.0,0.0,97.012,98.712,6.068
2022-02-17 08:33:02,91.332,Walking,1101.076,1.0,0.0,0.0,0.0,0.0,101.241,102.026,5.563
2022-02-18 08:03:11,116.083,Walking,1365.374,1.0,0.0,0.0,0.0,0.0,101.178,105.791,5.593
2022-02-18 13:39:22,77.44,Walking,1108.861,1.0,0.0,0.0,0.0,0.0,59.069,62.666,4.879
2022-02-18 18:28:47,132.467,Walking,1766.221,1.0,0.0,0.0,0.0,0.0,105.759,113.816,5.116
2022-02-19 11:43:13,98.924,Walking,1547.958,1.0,0.0,0.0,0.0,0.0,108.834,110.321,4.506
2022-02-19 12:56:45,46.401,Walking,798.707,1.0,0.0,0.0,0.0,0.0,101.913,105.0,4.023
2022-02-20 16:34:55,106.277,Yoga,1281.301,1.0,0.0,0.0,0.0,0.0,99.297,107.0,4.912
2022-02-20 16:35:05,85.0,Yoga (Indoor),1290.0,1.0,0.0,0.0,0.0,0.0,100.833,107.0,
2022-02-20 17:25:52,54.065,Functional Strength Training,610.804,0.75,0.25,0.0,0.0,0.0,108.375,116.0,5.857
2022-02-20 17:26:23,62.0,Functional Strength Training (Indoor),600.0,0.833,0.167,0.0,0.0,0.0,110.833,116.0,
2022-02-20 18:18:35,224.032,Walking,2744.546,0.0,1.0,0.0,0.0,0.0,119.236,121.408,5.461
2022-02-21 09:41:08,76.413,Walking,1147.898,1.0,0.0,0.0,0.0,0.0,92.809,93.452,4.56
