date,Total Sleep Duration,Bedtime Start,Bedtime End,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Inactive Time,Average MET
2021-04-02,27990.0,2021-04-02T00:28:12-05:00,2021-04-02T09:02:12-05:00,30840.0,2850.0,5820.0,17460.0,4710.0,41.0,91.0,450.0,57.71,48.0,45.0,0.4,12.375,25680.0,1.65625
2021-04-03,34140.0,2021-04-02T22:58:22-05:00,2021-04-03T09:43:22-05:00,38700.0,4560.0,9300.0,19560.0,5280.0,30.0,88.0,480.0,58.91,51.0,37.0,0.63,12.5,27780.0,1.5625
2021-04-04,32130.0,2021-04-03T23:49:00-05:00,2021-04-04T09:24:00-05:00,34500.0,2370.0,6900.0,18510.0,6720.0,35.0,93.0,240.0,64.03,57.0,23.0,0.29,12.5,25080.0,1.375
2021-04-05,34320.0,2021-04-04T21:58:12-05:00,2021-04-05T08:21:12-05:00,37380.0,3060.0,8400.0,21090.0,4830.0,36.0,92.0,1140.0,51.58,42.0,60.0,0.05,12.0,28380.0,1.5
2021-04-06,30060.0,2021-04-05T22:38:09-05:00,2021-04-06T08:05:09-05:00,34020.0,3960.0,6600.0,15960.0,7500.0,36.0,88.0,1140.0,48.33,43.0,89.0,-0.05,12.0,21780.0,1.8125
2021-04-07,27540.0,2021-04-06T22:34:32-05:00,2021-04-07T07:31:32-05:00,32220.0,4680.0,5520.0,16770.0,5250.0,34.0,85.0,840.0,48.48,43.0,89.0,-0.57,11.625,28980.0,1.8125
2021-04-08,24630.0,2021-04-07T23:35:10-05:00,2021-04-08T08:11:10-05:00,30960.0,6330.0,4350.0,17550.0,2730.0,41.0,80.0,2910.0,57.11,46.0,65.0,-0.11,12.25,24360.0,1.625
2021-04-09,30420.0,2021-04-08T22:27:59-05:00,2021-04-09T07:51:59-05:00,33840.0,3420.0,5460.0,20880.0,4080.0,43.0,90.0,960.0,51.44,46.0,68.0,-0.24,11.75,26760.0,1.8125
2021-04-10,25080.0,2021-04-09T23:33:00-05:00,2021-04-10T08:20:00-05:00,31620.0,6540.0,3960.0,18900.0,2220.0,39.0,79.0,990.0,53.15,47.0,62.0,0.21,12.25,29880.0,1.71875
2021-04-11,26130.0,2021-04-11T00:20:34-05:00,2021-04-11T08:34:34-05:00,29640.0,3510.0,5130.0,13860.0,7140.0,35.0,88.0,450.0,49.23,45.0,88.0,-0.31,11.75,23640.0,1.625
