date,Total Sleep Duration,Bedtime Start,Bedtime End,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Inactive Time,Average MET
2022-07-25,32520.0,2022-07-24T21:42:47-05:00,2022-07-25T08:04:47-05:00,37320.0,4800.0,8010.0,17790.0,6720.0,30.0,87.0,540.0,49.47,44.0,79.0,-0.18,12.125,30240.0,1.625
2022-07-26,31050.0,2022-07-25T21:40:12-05:00,2022-07-26T07:55:12-05:00,36900.0,5850.0,5580.0,18930.0,6540.0,39.0,84.0,210.0,53.96,46.0,68.0,-0.08,11.75,33600.0,1.59375
2022-07-27,30960.0,2022-07-26T22:28:17-05:00,2022-07-27T07:42:17-05:00,33240.0,2280.0,5250.0,19020.0,6690.0,36.0,93.0,660.0,51.21,47.0,67.0,-0.12,11.625,22920.0,2.09375
2022-07-28,31950.0,2022-07-27T22:15:16-05:00,2022-07-28T08:13:16-05:00,35880.0,3930.0,7170.0,17820.0,6960.0,39.0,89.0,150.0,54.14,47.0,59.0,-0.12,11.875,28800.0,1.625
2022-07-29,22410.0,2022-07-29T00:31:51-05:00,2022-07-29T07:02:51-05:00,23460.0,1050.0,4920.0,11340.0,6150.0,35.0,96.0,420.0,58.83,51.0,48.0,-0.22,11.875,23520.0,2.0625
2022-07-30,29340.0,2022-07-30T00:38:37-05:00,2022-07-30T10:01:37-05:00,33780.0,4440.0,7710.0,14100.0,7530.0,28.0,87.0,1200.0,69.2,59.0,27.0,0.22,12.25,32160.0,1.4375
2022-07-31,25470.0,2022-07-30T23:35:07-05:00,2022-07-31T07:25:07-05:00,28200.0,2730.0,4140.0,14310.0,7020.0,38.0,90.0,930.0,52.67,46.0,65.0,-0.34,11.75,24300.0,2.09375
