Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Exercise time(min),Flights climbed(count),Resting heart rate(count/min),Stand time(min),Step count(count),VO2 Max(mL/min·kg),Mindfulness(min)
2019-07-01,428.801,10.0,1830.618,27.0,9.0,59.0,,4300.0,,
2019-07-02,325.255,8.0,1797.476,8.0,7.0,60.0,,2032.793,,
2019-07-03,588.775,11.0,1809.739,42.0,17.0,65.0,,5989.0,,
2019-07-04,539.785,15.0,1887.555,14.0,6.0,72.0,,6685.239,,
2019-07-05,496.459,8.0,1828.083,13.0,9.0,66.0,,4356.727,,
2019-07-06,558.025,13.0,1870.681,34.274,17.897,59.0,,5862.044,,
2019-07-07,378.645,12.0,1830.389,21.726,12.0,54.0,,3488.204,,
2019-07-08,456.141,11.0,1839.044,27.0,13.0,61.0,,6307.0,,
2019-07-09,421.053,10.0,1826.976,14.0,13.0,60.0,,4414.513,,
2019-07-10,516.1,7.0,1811.203,26.0,9.0,62.0,,4199.0,,
2019-07-11,358.327,11.0,1813.371,24.0,18.0,60.0,,3590.0,,
2019-07-12,811.873,14.0,1878.297,87.0,11.0,62.0,,14215.0,,
2019-07-13,568.724,15.0,1870.539,41.0,6.0,68.0,,9527.0,,
2019-07-14,477.991,8.0,1791.887,7.0,9.0,60.0,,2586.0,,
2019-07-15,432.593,12.0,1827.369,42.0,28.0,61.0,,4932.0,,
2019-07-16,363.732,9.0,1804.757,11.0,6.0,57.0,,2418.0,,
2019-07-17,625.795,11.0,1844.123,39.0,9.0,66.0,,10116.0,,
2019-07-18,325.834,6.0,1796.757,11.0,11.0,60.0,,2747.0,,
2019-07-19,248.093,4.0,1778.848,10.0,5.0,60.0,,1592.0,,
2019-07-20,664.844,9.0,1838.075,32.0,10.0,66.0,,5954.0,,
2019-07-21,299.259,9.0,1808.157,10.0,8.2,59.0,,2996.0,,
2019-07-22,522.374,11.0,1815.849,57.0,12.0,62.0,,6872.0,,
2019-07-23,456.995,12.0,1810.559,33.0,15.0,61.0,,4694.0,,
2019-07-24,399.017,11.0,1833.983,20.0,19.0,64.0,,3631.0,,
2019-07-25,383.561,9.0,1816.509,20.0,9.0,58.0,,4922.0,,
2019-07-26,425.273,12.0,1836.366,21.0,14.0,58.0,,4095.0,,
2019-07-27,841.14,14.0,1899.076,55.0,20.0,71.0,,12882.401,,
2019-07-28,490.29,12.0,1862.068,31.0,10.0,63.0,,5486.0,,
2019-07-29,526.077,13.0,1820.865,37.0,17.0,60.0,,5389.0,,
2019-07-30,455.197,11.0,1805.719,15.0,13.0,66.0,,3144.0,,
2019-07-31,226.556,6.0,1788.372,8.0,6.0,58.0,,2087.933,,
2019-08-01,542.011,9.0,1835.741,42.0,17.0,62.0,,6219.0,,
2019-08-02,542.483,11.0,1845.075,43.0,5.0,64.0,,9234.474,,
2019-08-03,942.919,15.0,1897.34,91.0,7.0,62.0,,18801.526,,
2019-08-04,357.298,11.0,1824.248,8.0,2.0,71.0,,5695.0,,
2019-08-05,364.853,3.0,1683.328,24.0,7.0,62.0,,4840.0,,
2019-08-06,424.807,4.0,1710.171,18.0,6.0,59.0,,2667.0,,
2019-08-07,377.848,9.0,1828.597,22.0,11.0,60.0,,4255.0,,
2019-08-08,532.711,14.0,1864.883,41.0,8.0,62.0,,7597.0,,
