date,Total Sleep Duration,Bedtime Start,Bedtime End,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Inactive Time,Average MET
2021-12-27,33300.0,2021-12-26T22:22:29-06:00,2021-12-27T08:50:29-06:00,37680.0,4380.0,6390.0,23100.0,3810.0,27.0,88.0,540.0,51.98,46.0,64.0,-0.11,12.0,26100.0,1.34375
2021-12-28,32790.0,2021-12-27T22:14:32-06:00,2021-12-28T08:31:32-06:00,37020.0,4230.0,6870.0,22470.0,3450.0,28.0,89.0,1170.0,52.91,46.0,61.0,0.08,11.625,31860.0,1.46875
2021-12-29,34530.0,2021-12-28T21:54:59-06:00,2021-12-29T08:33:59-06:00,38340.0,3810.0,8850.0,18660.0,7020.0,22.0,90.0,1890.0,52.32,47.0,53.0,-0.12,11.375,29640.0,1.59375
2021-12-30,30030.0,2021-12-29T22:54:10-06:00,2021-12-30T08:27:10-06:00,34380.0,4350.0,7770.0,15090.0,7170.0,25.0,87.0,840.0,54.8,48.0,51.0,-0.17,12.625,33780.0,1.625
2021-12-31,28710.0,2021-12-30T23:21:13-06:00,2021-12-31T08:35:13-06:00,33240.0,4530.0,5880.0,16560.0,6270.0,28.0,86.0,960.0,52.86,48.0,55.0,-0.34,11.5,27780.0,1.71875
2022-01-01,22890.0,2022-01-01T02:56:30-06:00,2022-01-01T09:59:30-06:00,25380.0,2490.0,5400.0,10950.0,6540.0,17.0,90.0,240.0,66.24,58.0,23.0,0.33,11.625,30660.0,1.375
2022-01-02,37260.0,2022-01-01T22:03:00-06:00,2022-01-02T09:47:00-06:00,42240.0,4980.0,10560.0,18960.0,7740.0,23.0,88.0,1440.0,50.49,45.0,69.0,-0.1,12.5,27840.0,1.5625
