Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Exercise time(min),Flights climbed(count),Resting heart rate(count/min),Stand time(min),Step count(count),VO2 Max(mL/min·kg),Mindfulness(min)
2019-04-22,240.602,11.0,1813.068,38.0,,56.0,,2584.0,,
2019-04-23,511.804,14.0,1866.299,51.0,21.0,58.0,,6904.0,,
2019-04-24,713.25,15.0,1875.093,71.0,39.0,57.0,,10242.0,,
2019-04-25,848.67,17.0,1891.605,67.0,40.0,59.0,,13304.551,,
2019-04-26,748.042,17.0,1896.164,61.0,27.0,69.0,,11652.834,,
2019-04-27,591.212,10.0,1848.498,57.0,14.0,68.0,,8739.0,,
2019-04-28,418.694,9.0,1812.624,33.0,31.0,58.0,,5928.911,,
