Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Exercise time(min),Flights climbed(count),Resting heart rate(count/min),Stand time(min),Step count(count),VO2 Max(mL/min·kg),Mindfulness(min)
2021-06-21,645.049,6.0,1788.98,81.0,2.0,47.0,122.0,3643.291,,
2021-06-22,1016.009,13.0,1837.682,118.0,3.0,45.0,126.0,3204.0,,
2021-06-23,396.039,12.0,1823.108,23.0,3.0,46.0,73.0,2442.0,,
2021-06-24,610.708,13.0,1835.316,59.0,4.0,47.0,106.0,5270.0,,
2021-06-25,680.151,15.0,1884.622,42.626,4.0,48.0,175.0,11773.639,,
2021-06-26,770.341,17.0,1915.718,57.374,23.0,67.0,236.0,12026.625,,
2021-06-27,554.369,13.0,1867.033,42.0,9.0,46.0,87.0,3791.849,,
