Date,Active energy burned(Cal),Activity,Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2021-01-25 08:06:14,115.734,Walking,1370.425,1.0,0.0,0.0,0.0,0.0,100.306,100.732,5.715
2021-01-25 17:54:38,105.957,Traditional Strength Training,1204.434,0.5,0.0,0.5,0.0,0.0,120.004,136.595,4.112
2021-01-25 17:55:06,125.0,Functional Strength Training (Indoor),1200.0,0.0,0.2,0.8,0.0,0.0,141.519,152.0,
2021-01-25 18:18:03,28.232,Functional Strength Training,460.495,1.0,0.0,0.0,0.0,0.0,98.561,98.561,4.48
2021-01-25 18:18:32,37.0,Functional Strength Training (Indoor),330.0,,,,,,,,
2021-01-26 08:23:56,71.467,Walking,678.059,1.0,0.0,0.0,0.0,0.0,104.817,104.817,6.815
2021-01-26 16:35:43,138.943,Cycling (Indoor),1200.314,0.996,0.004,0.0,0.0,0.0,72.817,127.282,7.319
2021-01-26 16:35:44,222.0,Cycling (Indoor),1200.0,0.996,0.004,0.0,0.0,0.0,72.68,127.282,
2021-01-26 17:26:37,149.032,Functional Strength Training,1199.589,0.0,0.5,0.0,0.5,0.0,144.793,159.057,7.792
2021-01-27 11:43:37,121.246,Yoga,1931.004,1.0,0.0,0.0,0.0,0.0,84.786,91.802,3.27
2021-01-27 11:44:04,135.0,Yoga (Indoor),1800.0,1.0,0.0,0.0,0.0,0.0,91.802,91.802,
2021-01-27 13:47:53,113.719,Cycling (Indoor),900.301,0.0,1.0,0.0,0.0,0.0,123.633,127.408,7.88
2021-01-27 14:06:42,244.421,Cycling (Indoor),1204.12,0.068,0.013,0.059,0.432,0.428,165.343,189.0,11.858
2021-01-27 14:06:43,317.0,Cycling (Indoor),1200.0,0.068,0.013,0.059,0.432,0.428,165.343,189.0,
2021-01-28 08:18:00,55.804,Walking,791.135,1.0,0.0,0.0,0.0,0.0,87.294,87.342,5.028
2021-01-28 10:09:43,92.094,Yoga,1200.63,1.0,0.0,0.0,0.0,0.0,94.844,97.53,4.278
2021-01-28 10:09:49,84.0,Yoga (Indoor),1200.0,1.0,0.0,0.0,0.0,0.0,87.08,92.159,
2021-01-30 09:59:55,49.147,Walking,662.947,1.0,0.0,0.0,0.0,0.0,91.711,91.711,5.19
2021-01-30 12:03:33,82.377,HIIT,688.457,1.0,0.0,0.0,0.0,0.0,110.07,110.07,7.534
2021-01-30 12:19:21,562.321,Traditional Strength Training,4124.179,0.0,0.571,0.429,0.0,0.0,133.388,143.116,8.001
2021-01-31 12:20:33,44.259,Yoga,609.822,1.0,0.0,0.0,0.0,0.0,85.583,85.583,4.708
2021-01-31 12:21:00,48.0,Yoga (Indoor),600.0,1.0,0.0,0.0,0.0,0.0,86.0,93.0,
2021-01-31 14:05:02,472.898,Cycling (Indoor),2702.045,0.0,0.0,0.4,0.6,0.0,152.102,157.453,10.367
2021-01-31 14:05:05,563.0,Cycling (Indoor),2700.0,0.0,0.0,0.4,0.6,0.0,152.102,157.453,
2021-01-31 14:57:06,58.344,Functional Strength Training,667.042,1.0,0.0,0.0,0.0,0.0,113.605,113.605,5.866
2021-01-31 14:57:35,63.0,Functional Strength Training (Indoor),600.0,,,,,,,,
2021-01-31 15:08:59,28.772,Functional Strength Training,717.371,1.0,0.0,0.0,0.0,0.0,96.495,98.544,3.315
2021-01-31 15:09:19,31.0,Preparation and Recovery (Indoor),603.0,,,,,,,,
