date,Total Sleep Duration,Bedtime Start,Bedtime End,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Respiratory Rate,Inactive Time,Average MET
2020-10-12,26010.0,2020-10-11T22:41:12-05:00,2020-10-12T06:16:12-05:00,27300.0,1290.0,5310.0,14340.0,6360.0,32.0,95.0,180.0,49.69,44.0,80.0,-0.16,12.5,33480.0,1.59375
2020-10-13,30270.0,2020-10-12T22:03:55-05:00,2020-10-13T07:04:55-05:00,32460.0,2190.0,7020.0,17130.0,6120.0,37.0,93.0,750.0,52.3,48.0,68.0,-0.09,12.625,37200.0,1.5
2020-10-14,27330.0,2020-10-13T23:07:39-05:00,2020-10-14T07:17:39-05:00,29400.0,2070.0,5340.0,15570.0,6420.0,35.0,93.0,270.0,54.32,49.0,72.0,-0.05,12.125,39420.0,1.65625
2020-10-15,19380.0,2020-10-15T01:03:16-05:00,2020-10-15T07:08:16-05:00,21900.0,2520.0,3150.0,10260.0,5970.0,42.0,88.0,480.0,57.27,52.0,61.0,-0.01,11.75,34440.0,1.5625
2020-10-16,27630.0,2020-10-15T22:18:55-05:00,2020-10-16T06:50:55-05:00,30720.0,3090.0,5730.0,14910.0,6990.0,45.0,90.0,810.0,57.58,51.0,50.0,0.18,12.0,33300.0,1.46875
2020-10-17,28770.0,2020-10-16T23:00:03-05:00,2020-10-17T07:41:03-05:00,31260.0,2490.0,6300.0,15690.0,6780.0,34.0,92.0,1560.0,56.87,49.0,57.0,0.12,12.125,32400.0,1.6875
2020-10-18,24120.0,2020-10-18T02:40:23-05:00,2020-10-18T09:56:23-05:00,26160.0,2040.0,5490.0,13320.0,5310.0,37.0,92.0,210.0,65.52,55.0,28.0,0.03,12.5,25920.0,1.4375
