Date,Active energy burned(Cal),Activity,Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2020-09-07 08:56:13,75.0,Yoga (Indoor),1200.0,1.0,0.0,0.0,0.0,0.0,88.667,92.0,
2020-09-08 13:19:25,214.0,Cycling (Indoor),1800.0,0.333,0.0,0.667,0.0,0.0,127.23,145.043,
2020-09-08 13:21:28,296.837,Cycling (Indoor),1754.887,0.0,0.0,1.0,0.0,0.0,144.679,147.345,10.162
2020-09-09 06:41:04,38.0,Yoga (Indoor),600.0,1.0,0.0,0.0,0.0,0.0,72.5,82.0,
2020-09-09 16:22:56,35.867,Rowing,294.217,0.042,0.52,0.438,0.0,0.0,134.271,147.0,7.749
2020-09-09 17:22:10,60.65,Cycling,1550.26,0.333,0.0,0.667,0.0,0.0,131.543,142.248,4.213
2020-09-10 15:55:34,138.411,Walking,2060.416,1.0,0.0,0.0,0.0,0.0,89.162,100.005,4.862
2020-09-11 07:32:07,50.415,Walking,634.795,1.0,0.0,0.0,0.0,0.0,100.4,105.0,
2020-09-11 08:28:54,71.761,Cycling,1103.865,0.0,0.0,1.0,0.0,0.0,137.479,137.679,4.957
2020-09-11 17:00:10,33.615,Rowing,307.884,0.0,0.0,1.0,0.0,0.0,136.894,136.894,7.125
2020-09-11 17:56:33,56.121,Cycling,1256.504,0.0,0.5,0.5,0.0,0.0,136.874,141.463,4.063
2020-09-11 18:27:37,123.935,Walking,1685.366,1.0,0.0,0.0,0.0,0.0,100.201,102.937,5.145
2020-09-11 19:02:11,133.989,Walking,2150.091,1.0,0.0,0.0,0.0,0.0,94.594,98.0,4.854
2020-09-12 13:27:37,131.676,Walking,1641.395,0.571,0.429,0.0,0.0,0.0,98.369,123.491,6.076
2020-09-13 14:37:48,79.0,Functional Strength Training (Indoor),1079.0,0.333,0.334,0.333,0.0,0.0,127.333,150.0,
