Date,Active energy burned(Cal),Activity,Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2021-11-08 07:49:13,53.058,Walking,736.7,1.0,0.0,0.0,0.0,0.0,87.278,89.875,5.11
2021-11-08 08:01:41,55.08,Functional Strength Training,584.337,1.0,0.0,0.0,0.0,0.0,108.085,108.085,6.165
2021-11-08 08:11:57,61.203,Walking,719.251,1.0,0.0,0.0,0.0,0.0,102.722,104.104,5.687
2021-11-08 10:53:06,91.954,Walking,1065.996,1.0,0.0,0.0,0.0,0.0,84.889,91.533,13.228
2021-11-08 16:11:02,108.836,Traditional Strength Training,1601.571,1.0,0.0,0.0,0.0,0.0,99.555,113.663,2.671
2021-11-08 16:49:29,66.006,Walking,902.482,1.0,0.0,0.0,0.0,0.0,84.229,87.699,11.222
2021-11-09 07:45:03,348.716,Cycling (Indoor),2811.883,0.0,0.8,0.2,0.0,0.0,130.766,136.284,7.725
2021-11-09 07:46:46,587.0,Cycling (Indoor),2706.0,0.0,1.0,0.0,0.0,0.0,132.219,133.094,
2021-11-09 10:09:22,212.302,Walking,2468.57,1.0,0.0,0.0,0.0,0.0,93.334,94.466,5.77
2021-11-09 17:06:39,163.067,Walking,2838.503,1.0,0.0,0.0,0.0,0.0,78.006,85.937,4.226
2021-11-10 10:08:13,39.385,Traditional Strength Training,643.769,1.0,0.0,0.0,0.0,0.0,91.955,91.955,1.977
2021-11-10 10:08:42,62.0,Functional Strength Training (Indoor),600.0,,,,,,,,
2021-11-11 11:38:01,147.417,Walking,1935.305,1.0,0.0,0.0,0.0,0.0,95.351,109.828,8.777
2021-11-12 10:36:56,107.906,Walking,1437.232,1.0,0.0,0.0,0.0,0.0,89.649,92.973,5.073
2021-11-12 16:22:00,179.415,Cycling (Indoor),1216.832,0.0,0.5,0.5,0.0,0.0,132.495,145.223,8.944
2021-11-12 16:22:13,245.0,Cycling (Indoor),1200.0,0.0,1.0,0.0,0.0,0.0,119.767,119.767,
2021-11-13 14:34:06,116.393,Walking,1479.2,1.0,0.0,0.0,0.0,0.0,92.126,93.173,5.421
2021-11-14 12:21:27,101.106,Walking,1361.854,1.0,0.0,0.0,0.0,0.0,99.467,99.467,5.179
2021-11-14 12:57:28,390.875,Traditional Strength Training,4251.701,0.286,0.714,0.0,0.0,0.0,115.557,122.172,4.244
