Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Exercise time(min),Flights climbed(count),Resting heart rate(count/min),Stand time(min),Step count(count),VO2 Max(mL/min·kg),Mindfulness(min)
2021-06-01,848.908,10.0,1802.8,86.0,1.0,45.0,111.0,4117.0,,
2021-06-02,1467.256,13.0,1872.808,163.0,5.0,46.0,204.0,7987.0,,
2021-06-03,507.358,12.0,1818.901,27.0,3.0,55.0,111.0,8269.0,,
2021-06-04,531.845,8.0,1814.816,37.0,3.0,53.0,72.0,4588.099,,
2021-06-05,536.668,14.0,1853.018,33.0,11.0,52.0,153.0,7431.0,,
2021-06-06,464.031,2.0,1727.022,47.0,3.0,51.0,55.0,6365.0,,
2021-06-07,948.227,11.0,1796.728,78.0,,44.0,113.0,3632.0,,
2021-06-08,692.077,10.0,1823.432,73.0,3.0,45.0,134.0,8380.0,,
2021-06-09,526.299,14.0,1831.521,55.0,2.0,46.0,88.0,6874.0,,
2021-06-10,1294.187,13.0,1876.805,144.0,4.0,46.0,195.0,8788.333,,
2021-06-11,772.438,14.0,1865.301,90.0,14.0,49.0,156.0,10166.0,,
2021-06-12,704.622,12.0,1883.165,75.0,5.0,56.0,154.0,10839.0,,
2021-06-13,698.314,8.0,1805.928,97.0,2.0,45.0,117.0,6019.854,,
2021-06-14,1016.051,14.0,1852.225,101.0,5.0,44.0,162.0,7243.0,,
2021-06-15,437.384,8.0,1806.794,38.0,2.0,47.0,46.0,4511.0,,
2021-06-16,836.841,12.0,1825.693,96.0,1.0,43.0,127.0,6861.0,,
2021-06-17,887.457,15.0,1902.362,93.0,8.0,44.0,169.0,10778.005,,
2021-06-18,790.624,15.0,1913.269,82.967,10.0,58.0,139.0,9493.826,,
2021-06-19,639.375,3.0,1746.315,2.033,17.0,46.0,15.0,8705.918,,
2021-06-20,463.694,17.0,1851.009,28.0,8.0,56.0,121.0,6911.0,,
2021-06-21,645.049,6.0,1788.98,81.0,2.0,47.0,122.0,3643.291,,
2021-06-22,1016.009,13.0,1837.682,118.0,3.0,45.0,126.0,3204.0,,
2021-06-23,396.039,12.0,1823.108,23.0,3.0,46.0,73.0,2442.0,,
2021-06-24,610.708,13.0,1835.316,59.0,4.0,47.0,106.0,5270.0,,
2021-06-25,680.151,15.0,1884.622,42.626,4.0,48.0,175.0,11773.639,,
2021-06-26,770.341,17.0,1915.718,57.374,23.0,67.0,236.0,12026.625,,
2021-06-27,554.369,13.0,1867.033,42.0,9.0,46.0,87.0,3791.849,,
2021-06-28,1018.156,14.0,1842.375,86.0,2.0,44.0,112.0,4814.0,,
2021-06-29,325.32,9.0,1795.288,19.0,1.0,46.0,51.0,3098.0,,
2021-06-30,1257.602,16.0,1848.739,114.0,2.0,44.0,152.0,6713.739,,
