Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Exercise time(min),Flights climbed(count),Resting heart rate(count/min),Stand time(min),Step count(count),VO2 Max(mL/min·kg),Mindfulness(min)
2020-07-06,881.649,13.0,1842.984,104.0,4.0,46.0,211.0,18223.0,,
2020-07-07,346.797,11.0,1808.668,20.0,7.0,46.0,70.0,4092.0,,
2020-07-08,647.383,16.0,1824.05,48.0,10.0,45.0,110.0,7752.0,,
2020-07-09,857.396,13.0,1808.776,66.0,4.0,47.0,109.0,6673.808,,
2020-07-10,783.004,12.0,1827.64,88.0,5.0,49.0,163.0,13850.0,,
2020-07-11,604.875,15.0,1842.71,20.0,1.0,49.0,197.0,12409.058,,
2020-07-12,580.103,9.0,1733.387,33.0,4.0,50.0,80.0,5854.942,,
