Date,Active energy burned(Cal),Activity,Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg)
2020-05-25 17:31:20,138.534,Walking,1749.449,1.0,0.0,0.0,0.0,0.0,108.986,113.0,5.85
2020-05-26 06:59:30,195.095,Walking,1719.86,0.333,0.667,0.0,0.0,0.0,116.543,130.045,7.207
2020-05-26 12:49:36,230.804,Walking,2380.203,1.0,0.0,0.0,0.0,0.0,101.628,107.192,6.356
2020-05-27 08:04:58,119.853,Walking,1724.405,1.0,0.0,0.0,0.0,0.0,99.531,105.0,4.826
2020-05-27 13:39:12,85.673,Walking,805.139,1.0,0.0,0.0,0.0,0.0,101.076,103.347,6.921
2020-05-27 13:52:52,80.654,Running,460.973,0.0,0.0,1.0,0.0,0.0,145.171,145.171,10.739
2020-05-27 19:01:07,84.176,Walking,742.198,0.5,0.0,0.5,0.0,0.0,125.712,147.53,7.297
2020-05-28 15:49:50,266.834,Walking,3570.426,1.0,0.0,0.0,0.0,0.0,96.216,97.902,5.178
2020-05-28 19:36:22,146.331,Walking,1378.145,1.0,0.0,0.0,0.0,0.0,101.23,106.28,6.838
2020-05-29 08:13:18,128.392,Walking,1561.15,1.0,0.0,0.0,0.0,0.0,98.52,100.433,5.521
2020-05-29 11:17:05,73.266,Walking,896.477,1.0,0.0,0.0,0.0,0.0,100.592,101.198,5.58
2020-05-29 11:33:07,96.645,Running,409.064,0.0,0.0,0.0,1.0,0.0,171.038,171.038,13.935
2020-05-29 17:54:47,140.192,Walking,1242.651,1.0,0.0,0.0,0.0,0.0,106.573,106.845,7.196
2020-05-31 09:16:50,196.424,Walking,2072.644,1.0,0.0,0.0,0.0,0.0,92.502,94.915,6.266
