Date,Active energy burned(Cal),Apple Watch stand hours(hr),Basal energy burned(Cal),Exercise time(min),Flights climbed(count),Resting heart rate(count/min),Stand time(min),Step count(count),VO2 Max(mL/min·kg),Mindfulness(min)
2019-02-25,812.63,12.0,1838.259,67.0,22.0,57.0,,12427.661,,
2019-02-26,557.0,10.0,1828.727,54.0,33.0,55.0,,9177.52,,
2019-02-27,598.914,12.0,1839.249,53.0,21.0,54.0,,10164.508,,
2019-02-28,449.566,10.0,1827.391,36.0,17.0,66.0,,10050.339,,
2019-03-01,491.191,12.0,1859.944,28.0,11.0,64.0,,7852.0,,
2019-03-02,83.54,4.0,1786.329,4.0,9.0,68.0,,2070.0,,
2019-03-03,468.909,5.0,1815.017,45.0,11.0,59.0,,8336.0,,
